@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
187,'2018/11/21 10:37:13:267',5,-4737872,-5726833,-3487547,-1,-1,-1,-1,-1,-1,-3160639,-5133917,-5464175,-3093046,-1,-1,-1,-1,-1,-65794,-3687755,-5661549,-5464434,-4015439,-2436149,-2699579,-3029058,-3424074,-3753298,-5400177,-7703960,-6253948,-5596279,-5991035,-7569550,-5728377,-5267827,-5333621,-5532284,-6980497,-7506581,-6517894,-8096411,-15135220,-11390940,-11783116,-10140865,-8890031,-8889520,-8164510,-7637910,-7439253,-15331570,-16055549,-10341338,-11720669,-11260891,-11459809,-11261919,-10139582,-8098202,-7307669,-12042957,-16514557,-11981791,-11652051,-9548478,-7835801,-8495021,-7967389,-7309203,-7637149,-6913171,-7570328,-8293534,-6846860,-5925244,-6318453,-5991803,-6651533,-7178132,-5464176,-5332333,-5200746,-5069159,-5002850,-4738905,-4211786,-3554630,-5927553,-7177876,-4082005,-4015953,-3884109,-3817800,-3685697,-3355956,-2301462,-328194,-724239,-3160384,1
188,'2018/11/21 10:37:13:320',5,-4737872,-5726833,-3487547,-1,-1,-1,-1,-1,-1,-3160383,-5133917,-5464175,-3093046,-1,-1,-1,-1,-1,-65794,-3687755,-5661549,-5398898,-4015695,-2436149,-2699579,-3029058,-3424074,-3753298,-5400177,-7703960,-6254204,-5596279,-6056571,-7569550,-5794169,-5267827,-5333621,-5532284,-6980497,-7506581,-6583430,-8096411,-15135220,-11390940,-11783117,-10140866,-8890031,-8889520,-8164510,-7638167,-7439253,-15331314,-16055549,-10341338,-11720669,-11260891,-11459809,-11261919,-10139583,-8098202,-7242133,-11977421,-16514557,-12047327,-11652051,-9548478,-7835801,-8495021,-7967133,-7309203,-7637149,-6913171,-7570328,-8227998,-6846604,-5925244,-6318453,-5991803,-6651533,-7178132,-5464176,-5332333,-5200746,-5069159,-5002850,-4738905,-4211786,-3554630,-5927553,-7177875,-4082005,-4015953,-3884109,-3817800,-3685697,-3421492,-2301462,-327938,-724239,-3160384,1
189,'2018/11/21 10:37:13:369',5,-4737872,-5726833,-3487547,-1,-1,-1,-1,-1,-1,-3160383,-5133917,-5464175,-3093046,-1,-1,-1,-1,-1,-65794,-3687755,-5661549,-5398898,-4015695,-2436149,-2699579,-3029058,-3424074,-3753298,-5400177,-7703960,-6254204,-5596279,-6056571,-7569550,-5794169,-5267827,-5333621,-5532284,-6980497,-7506581,-6583430,-8096411,-15135220,-11390940,-11783117,-10140866,-8890031,-8889520,-8164510,-7638167,-7439253,-15331314,-16055549,-10341338,-11720669,-11260891,-11459809,-11261919,-10139583,-8098202,-7242133,-11977421,-16514557,-12047327,-11652051,-9548478,-7835801,-8495021,-7967133,-7309203,-7637149,-6913171,-7570328,-8227998,-6846604,-5925244,-6318453,-5991803,-6651533,-7178132,-5464176,-5332333,-5200746,-5069159,-5002850,-4738905,-4211786,-3554630,-5927553,-7177875,-4082005,-4015953,-3884109,-3817800,-3685697,-3421492,-2301462,-327938,-724239,-3160384,1
190,'2018/11/21 10:37:13:446',5,-4737872,-5726833,-3487547,-1,-1,-1,-1,-1,-1,-3160383,-5133917,-5464175,-3093046,-1,-1,-1,-1,-1,-65794,-3687755,-5661549,-5398898,-4015695,-2436149,-2699579,-3029058,-3424074,-3753298,-5400177,-7703960,-6254204,-5596279,-6056571,-7569550,-5794169,-5267827,-5333621,-5532284,-6980497,-7506581,-6583430,-8096411,-15135220,-11390940,-11783117,-10140866,-8890031,-8889520,-8164510,-7638167,-7439253,-15331314,-16055549,-10341338,-11720669,-11260891,-11459809,-11261919,-10139583,-8098202,-7242133,-11977421,-16514557,-12047327,-11652051,-9548478,-7835801,-8495021,-7967133,-7309203,-7637149,-6913171,-7570328,-8227998,-6846604,-5925244,-6318453,-5991803,-6651533,-7178132,-5464176,-5332333,-5200746,-5069159,-5002850,-4738905,-4211786,-3554630,-5927553,-7177875,-4082005,-4015953,-3884109,-3817800,-3685697,-3421492,-2301462,-327938,-724239,-3160384,1
191,'2018/11/21 10:37:13:468',5,-4737872,-5726833,-3487547,-1,-1,-1,-1,-1,-1,-3160383,-5133917,-5464175,-3093046,-1,-1,-1,-1,-1,-65794,-3687755,-5661549,-5398898,-4015439,-2436149,-2699578,-3029058,-3424074,-3753298,-5465713,-7703960,-6253948,-5596279,-6056828,-7701135,-5859706,-5267827,-5333621,-5532284,-6980497,-7506581,-6517894,-8162204,-15200756,-11325404,-11783117,-10206658,-8890288,-8955313,-8230047,-7703703,-7439253,-15331314,-16121085,-10341595,-11720668,-11260891,-11459809,-11261919,-10139583,-8098202,-7242133,-11911628,-16448765,-12047583,-11652051,-9482686,-7835801,-8495020,-7967132,-7309203,-7637149,-6912915,-7438999,-8162205,-6846604,-5925244,-6318453,-5991803,-6585997,-7178132,-5464176,-5332333,-5200746,-5069159,-5002850,-4673369,-4211786,-3554630,-5927297,-7112339,-4082005,-4015953,-3884109,-3817800,-3685697,-3421492,-2301462,-327938,-724239,-3160384,1
192,'2018/11/21 10:37:13:501',5,-4737872,-5726833,-3487547,-1,-1,-1,-1,-1,-1,-3160383,-5133917,-5464175,-3093046,-1,-1,-1,-1,-1,-65794,-3687755,-5661549,-5398898,-4015439,-2436149,-2699578,-3029058,-3424074,-3753298,-5465713,-7703960,-6253948,-5596279,-6056828,-7701135,-5859706,-5267827,-5333621,-5532284,-6980497,-7506581,-6517894,-8162204,-15200756,-11325404,-11783117,-10206658,-8890288,-8955313,-8230047,-7703703,-7439253,-15331314,-16121085,-10341595,-11720668,-11260891,-11459809,-11261919,-10139583,-8098202,-7242133,-11911628,-16448765,-12047583,-11652051,-9482686,-7835801,-8495020,-7967132,-7309203,-7637149,-6912915,-7438999,-8162205,-6846604,-5925244,-6318453,-5991803,-6585997,-7178132,-5464176,-5332333,-5200746,-5069159,-5002850,-4673369,-4211786,-3554630,-5927297,-7112339,-4082005,-4015953,-3884109,-3817800,-3685697,-3421492,-2301462,-327938,-724239,-3160384,1
193,'2018/11/21 10:37:13:537',5,-4737872,-5726577,-3487547,-1,-1,-1,-1,-1,-1,-3160639,-5133917,-5464175,-3093046,-1,-1,-1,-1,-1,-65794,-3687755,-5661293,-5398898,-4015439,-2436149,-2699578,-3029058,-3424074,-3753554,-5465714,-7703960,-6253948,-5530743,-6122620,-7766928,-5859962,-5267827,-5268085,-5532284,-6980753,-7506582,-6583430,-8227740,-15200757,-11259868,-11717581,-10206915,-8956080,-8955569,-8230303,-7703703,-7439253,-15331314,-16121085,-10407131,-11655132,-11326684,-11459809,-11196383,-10139583,-8098202,-7242133,-11845835,-16448765,-12113119,-11586515,-9482685,-7770008,-8495020,-7967132,-7309203,-7637149,-6912915,-7438742,-8096413,-6780811,-5925244,-6318453,-5991803,-6585997,-7178132,-5464176,-5332333,-5200747,-5069159,-5002850,-4738905,-4211786,-3554630,-5927297,-7112339,-4082004,-4015953,-3949645,-3817800,-3685697,-3421492,-2301462,-327938,-724239,-3094848,1
194,'2018/11/21 10:37:13:573',5,-4737872,-5726577,-3487547,-1,-1,-1,-1,-1,-1,-3160383,-5133917,-5463919,-3093046,-1,-1,-1,-1,-1,-65794,-3687755,-5661549,-5398898,-4015439,-2436149,-2699578,-3029058,-3424075,-3753554,-5465714,-7703960,-6253948,-5596279,-6122620,-7766928,-5925499,-5267827,-5333621,-5532284,-7046289,-7506582,-6517894,-8227997,-15200757,-11259868,-11717581,-10272452,-8956081,-8955569,-8295840,-7703703,-7439253,-15396850,-16121085,-10407131,-11655133,-11326684,-11459809,-11196383,-10205119,-8098202,-7242133,-11845835,-16448765,-12178912,-11586259,-9482685,-7770008,-8429484,-7967132,-7309203,-7637149,-6912915,-7373206,-8096412,-6715275,-5925244,-6318453,-5991803,-6585997,-7178132,-5464176,-5266797,-5200747,-5069159,-5002850,-4673369,-4211786,-3554630,-5861761,-7112339,-4082005,-4015953,-3949645,-3817800,-3685697,-3421492,-2301462,-327938,-658447,-3094592,1
195,'2018/11/21 10:37:13:612',5,-4672336,-5726577,-3487547,-1,-65794,-65794,-1,-1,-1,-3160639,-5133917,-5463919,-3093046,-1,-1,-1,-1,-1,-65794,-3687755,-5661549,-5398898,-4015439,-2436149,-2699578,-3029058,-3424075,-3753554,-5465970,-7703960,-6253948,-5596279,-6122621,-7766929,-5925499,-5267827,-5333621,-5532284,-7046290,-7506581,-6517894,-8227996,-15200757,-11259868,-11717581,-10272708,-8956081,-8955569,-8295840,-7703703,-7439253,-15331314,-16121341,-10407131,-11655132,-11326684,-11459809,-11261919,-10205119,-8098202,-7242133,-11780042,-16448765,-12178912,-11586259,-9482685,-7770008,-8495020,-7967132,-7309203,-7637149,-6912915,-7373206,-8096156,-6715275,-5925244,-6318453,-5991802,-6585997,-7178132,-5464176,-5332333,-5200746,-5069159,-5002850,-4673369,-4211786,-3554630,-5861761,-7112339,-4082004,-4015953,-3884109,-3817800,-3685697,-3421492,-2301462,-327938,-658447,-3094592,1
196,'2018/11/21 10:37:13:645',5,-4737872,-5726577,-3487547,-1,-197636,-131586,-1,-1,-1,-3160383,-5133917,-5463919,-3093046,-1,-1,-1,-1,-1,-65794,-3687755,-5661293,-5398898,-4015439,-2436149,-2699578,-3029058,-3424074,-3753554,-5465970,-7703960,-6253948,-5596279,-6122621,-7832465,-5925499,-5267827,-5333621,-5597820,-7046290,-7572117,-6517894,-8227996,-15200757,-11259868,-11717581,-10272708,-8956081,-9021105,-8296096,-7703703,-7439253,-15331314,-16121341,-10407131,-11655132,-11326684,-11459809,-11196383,-10205375,-8098202,-7242133,-11780043,-16448765,-12178912,-11586259,-9482685,-7770008,-8429484,-7967132,-7309203,-7637149,-6912915,-7373206,-8096156,-6715019,-5859708,-6318453,-5991802,-6585997,-7178132,-5464176,-5332333,-5200746,-5069159,-5002850,-4673368,-4211786,-3554630,-5927297,-7112339,-4082004,-4015953,-3884109,-3817800,-3685697,-3421492,-2301462,-327938,-658447,-3094591,1
